strategy_type,name,dataset_mode,freq,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,trade_count
MA,MA_day_15min_50_200_L,day,15min,0.0814272307897117,0.11204031942988046,0.7267672138392312,-0.2162020194125811,503
TURTLE,TURTLE_day_30min_80_30_20,day,30min,0.03720341662982407,0.13982641193922787,0.26606859257744253,-0.27527852416919163,902
BB,BB_day_60min_100_3.0,day,60min,0.0016652426312890878,0.036539952105019306,0.045573202354043094,-0.14489409163846312,270
