mode,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,trade_count,meta_accuracy,meta_f1,meta_auc
base_test,0.11773482895999243,0.1561997716500809,0.7537452053626703,-0.2162020194125811,0,,,
meta_test,-0.012226307798314906,0.13701632709932438,-0.08923248825267331,-0.1748682830079844,3617,0.49526877390779145,0.40493709945407075,0.5036346162868227
