fold,start,end,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,trade_count
1,2017-03-15 12:45:00+08:00,2018-10-31 11:45:00+08:00,0.06890182288490121,0.12459980882712346,0.5529849807434243,-0.09879475030980789,4981.0
2,2018-10-31 12:00:00+08:00,2020-07-06 11:00:00+08:00,0.10257710217187399,0.14301137049968238,0.7172653601840828,-0.1236778767911988,5355.0
3,2020-07-06 11:15:00+08:00,2022-03-02 13:45:00+08:00,0.1770003290691069,0.1310872877268588,1.3502478549858719,-0.09970377337323122,5483.0
4,2022-03-03 08:45:00+08:00,2023-10-26 13:15:00+08:00,0.010583805030356164,0.12113035133418754,0.08737533503189812,-0.1984517343993496,4316.0
5,2023-10-26 13:30:00+08:00,2025-06-30 13:45:00+08:00,0.1220984042420965,0.13709664677502245,0.8906009527896165,-0.20599880908904067,5437.0
ALL_TEST,2017-03-15 12:45:00+08:00,2025-06-30 13:45:00+08:00,0.09482657345473688,0.13162352481715392,0.7204378821070635,-0.205998809089038,0.0
