name,strategy_type,dataset_mode,freq,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,trade_count
MA_day_15min_50_200_L,MA,day,15min,0.0814272307897117,0.11204031942988046,0.7267672138392312,-0.2162020194125811,503
MA_day_15min_30_90_L,MA,day,15min,0.07771791661682048,0.11408254877234532,0.6812428145509669,-0.2360989938116339,1041
MA_day_30min_20_60_L,MA,day,30min,0.07287012451803254,0.1125408234740334,0.647499478576731,-0.3146357053501849,823
MA_day_60min_20_60_L,MA,day,60min,0.0645289837460834,0.106458742353607,0.6061407670189056,-0.2939684128566885,443
MA_day_15min_10_30_L,MA,day,15min,0.06992300543570051,0.11800069364923849,0.5925643593549482,-0.24243407520618787,3067
MA_day_60min_10_30_L,MA,day,60min,0.06280293492261158,0.10784881493956415,0.5823238294997012,-0.2737002612379815,893
MA_day_10min_50_200_L,MA,day,10min,0.06706804177931702,0.11517916131740015,0.5822931944650741,-0.2636687480635935,761
MA_day_30min_50_200_L,MA,day,30min,0.06050010298885122,0.11343501718071326,0.5333459146258914,-0.2578913091594047,263
MA_day_5min_30_90_L,MA,day,5min,0.06360717455586018,0.12044015801919175,0.5281226428291848,-0.24191759790993383,2999
MA_day_60min_30_90_L,MA,day,60min,0.05150823295862561,0.10689799680915817,0.481844697712921,-0.24794653306200132,305
MA_day_30min_30_90_L,MA,day,30min,0.05196985027561363,0.10981965114526843,0.4732290599509225,-0.2519305704697138,553
MA_all_15min_10_30_L,MA,all,15min,0.03371064574416449,0.0782211398938945,0.43096592289363655,-0.2338098908572881,7420
MA_all_30min_50_200_L,MA,all,30min,0.030375273228580024,0.0723306070517108,0.41995048108560806,-0.2631605665595791,641
MA_day_10min_20_60_L,MA,day,10min,0.0479219452447035,0.1185586593468327,0.40420451368728927,-0.25500278269556986,2295
MA_all_5min_30_90_L,MA,all,5min,0.03076494631549953,0.07941987918215089,0.3873708526418126,-0.25462641546585696,7294
MA_all_15min_50_200_L,MA,all,15min,0.02842091108029443,0.074487425804358,0.38155313831011217,-0.23198196181181652,1177
MA_all_60min_50_200_L,MA,all,60min,0.026477449113548435,0.07251626132779479,0.3651242994155834,-0.27419370583968006,323
MA_all_15min_30_90_L,MA,all,15min,0.027838394284201318,0.07746347851886487,0.35937444091697696,-0.2065957325152783,2402
MA_all_10min_20_60_L,MA,all,10min,0.02736701515361606,0.07715451533647356,0.3547039992963152,-0.23643698459463314,5440
MA_day_30min_5_20_L,MA,day,30min,0.04067621318754844,0.11518995977329975,0.3531229047010824,-0.26983293796804986,2617
MA_day_60min_50_200_L,MA,day,60min,0.039730169011044536,0.1135157753509271,0.3499968959223609,-0.2744864783833332,143
MA_all_30min_5_20_L,MA,all,30min,0.025914769238892577,0.07625173937230874,0.3398580734317475,-0.22305709098882054,6132
MA_all_10min_10_30_L,MA,all,10min,0.02639715065999071,0.07782693150314861,0.3391775848045965,-0.2964722056202992,11140
MA_all_30min_20_60_L,MA,all,30min,0.024949527017357642,0.0765648164127633,0.325861514286849,-0.2679783419114228,1876
MA_day_5min_20_60_L,MA,day,5min,0.03623531171520433,0.11579926368782813,0.3129148714873313,-0.2845830375938153,4571
MA_all_10min_50_200_L,MA,all,10min,0.024209484316861207,0.07797755800488737,0.3104673310665081,-0.2508513258764342,1748
MA_all_5min_20_60_L,MA,all,5min,0.023714511119787618,0.07784076346253874,0.3046541434707324,-0.2783599769358083,11076
MA_all_60min_20_60_L,MA,all,60min,0.021634375561607078,0.0729044040379034,0.29674991308288107,-0.29344267175776617,1013
MA_all_60min_30_90_L,MA,all,60min,0.0203465247418102,0.07154754778636362,0.2843776673180137,-0.2586529418473724,697
MA_all_30min_30_90_L,MA,all,30min,0.020042538749613703,0.07379982374223384,0.2715797644668878,-0.2513386033065187,1283
MA_all_30min_10_30_L,MA,all,30min,0.02068784666964274,0.07627011629623633,0.2712444621074167,-0.2355348493351651,3818
MA_day_30min_10_30_L,MA,day,30min,0.03115806178488989,0.11582276482607196,0.26901500608864887,-0.2438285214127972,1643
MA_all_60min_10_30_L,MA,all,60min,0.02011809911139384,0.07502464413040125,0.2681532094497686,-0.25540825031163894,1982
TURTLE_day_30min_80_30_20,TURTLE,day,30min,0.03720341662982407,0.13982641193922787,0.26606859257744253,-0.27527852416919163,902
MA_day_5min_50_200_L,MA,day,5min,0.030956879460203757,0.11861981568574798,0.26097561593094926,-0.2535582857865092,1469
MA_day_15min_50_200_LS,MA,day,15min,0.042807254038891296,0.17337296653327686,0.24690847076597122,-0.3715293937535289,505
MA_day_10min_10_30_L,MA,day,10min,0.02754394687217121,0.11568830390112274,0.2380875675704664,-0.3014915410052209,4687
MA_all_5min_50_200_L,MA,all,5min,0.0186403168054583,0.07931987563877262,0.23500184103095928,-0.25324887727336576,3488
MA_all_15min_5_20_L,MA,all,15min,0.018005781014387878,0.07722081318476771,0.23317264182785932,-0.33289571379965555,12140
TURTLE_day_60min_100_50_20,TURTLE,day,60min,0.030400369493749135,0.14278004730284458,0.21291749140037913,-0.3324145562610581,356
MA_day_15min_20_60_L,MA,day,15min,0.02403614648055008,0.11847667643640315,0.20287661000899526,-0.23167522280996466,1575
MA_day_30min_20_60_LS,MA,day,30min,0.03432532402271016,0.17058671146139318,0.20121921413836852,-0.3717889703805748,827
MA_day_60min_5_20_L,MA,day,60min,0.02172231651786527,0.11088935752985622,0.19589180604655124,-0.2850273863983641,1479
MA_all_15min_10_30_LS,MA,all,15min,0.022197696039172987,0.11342762464971477,0.19569920561876816,-0.3417833378120303,7564
TURTLE_day_30min_200_100_40,TURTLE,day,30min,0.028140884210643202,0.1480321764915666,0.1900997801801988,-0.3202270247864495,346
MA_all_60min_5_20_L,MA,all,60min,0.014331754341768255,0.07585396636673869,0.18893875993876313,-0.2314299093984512,3236
TURTLE_all_30min_100_50_20,TURTLE,all,30min,0.017616134530251015,0.09467206556975225,0.18607531613717507,-0.23624895875426355,1371
TURTLE_all_60min_200_100_40,TURTLE,all,60min,0.01744561089939567,0.09610608524944664,0.18152451901578331,-0.36004330142275776,396
TURTLE_day_60min_55_20_20,TURTLE,day,60min,0.023915308212842712,0.13385832198032235,0.17866134775212816,-0.3047017013533926,710
MA_all_15min_20_60_L,MA,all,15min,0.013671618870932045,0.07841749348273949,0.1743439921851278,-0.23621904903566238,3712
MA_day_15min_10_30_LS,MA,day,15min,0.029149101171619618,0.17471588692876855,0.16683715307185357,-0.5097482435321767,3101
TURTLE_day_30min_100_50_20,TURTLE,day,30min,0.02402282768850883,0.14631916734959877,0.1641810032387032,-0.3036048676092681,658
TURTLE_day_15min_55_20_20,TURTLE,day,15min,0.02276526178112004,0.13988043257510355,0.16274800815258478,-0.23170437739138605,2278
TURTLE_all_15min_55_20_20,TURTLE,all,15min,0.014502999241229109,0.09250046590026562,0.15678839128082125,-0.22039867396124224,5333
TURTLE_all_30min_20_10_14,TURTLE,all,30min,0.014581182599625375,0.09552539793243572,0.15264194565238573,-0.2981965336313208,5527
MA_day_10min_30_90_L,MA,day,10min,0.018102077237213354,0.11891262021216435,0.15223007620987208,-0.22380792197466282,1541
MA_day_60min_20_60_LS,MA,day,60min,0.02462051656652342,0.1641308857752892,0.1500053841190576,-0.4134997836155545,444
TURTLE_day_10min_200_100_40,TURTLE,day,10min,0.022277358109580314,0.1528658040371751,0.14573146852492094,-0.3492171786841032,942
MA_day_60min_10_30_LS,MA,day,60min,0.02356095309560713,0.16503332565609974,0.14276482038969504,-0.29742706300938915,895
TURTLE_all_15min_200_100_40,TURTLE,all,15min,0.013781279623895637,0.09709602696232142,0.14193453692233493,-0.2423603920359796,1427
TURTLE_day_15min_200_100_40,TURTLE,day,15min,0.021420282468007867,0.1509288314096468,0.14192306577839683,-0.31783690557145594,656
TURTLE_all_5min_80_30_20,TURTLE,all,5min,0.012936145032241386,0.09472777275989118,0.1365612708432505,-0.32169128734024843,10786
TURTLE_day_60min_200_100_40,TURTLE,day,60min,0.01946635451380674,0.14268151029784326,0.1364322151704963,-0.43581363763333936,187
TURTLE_all_15min_50_20_20,TURTLE,all,15min,0.012854166766284258,0.09432213546056957,0.13627942903877335,-0.25463230702848005,5531
TURTLE_day_60min_50_20_20,TURTLE,day,60min,0.0177393009887421,0.13685139562185894,0.12962455302800469,-0.31684406231922224,746
MA_all_10min_30_90_L,MA,all,10min,0.010169054119670617,0.07876245096426003,0.1291104326385808,-0.25088447444584716,3662
MA_all_10min_5_20_L,MA,all,10min,0.009761430797076365,0.07714076112728334,0.12654050406593562,-0.44666245064728094,18379
MA_all_30min_50_200_LS,MA,all,30min,0.012796525123642821,0.11053193103925288,0.11577220268682747,-0.3442945888818303,644
TURTLE_all_60min_55_20_20,TURTLE,all,60min,0.010010746914856261,0.08713802268888726,0.11488379706064795,-0.18186299115773552,1424
TURTLE_all_30min_200_100_40,TURTLE,all,30min,0.010893775614365886,0.0957105844854187,0.11381996748777068,-0.32170653142462824,759
TURTLE_day_10min_100_50_20,TURTLE,day,10min,0.016276931812036377,0.14723588012868286,0.1105500357508678,-0.2814702706079807,1786
TURTLE_all_15min_80_30_20,TURTLE,all,15min,0.010006983102842648,0.09175421660439874,0.1090629234620146,-0.2650613085810928,3752
TURTLE_all_30min_55_20_20,TURTLE,all,30min,0.00954054589893194,0.08794962634929697,0.10847738978493345,-0.2789835604849108,2756
TURTLE_all_5min_100_50_20,TURTLE,all,5min,0.009644935397839394,0.09953450444145051,0.09690042113499309,-0.37673169942190954,8056
TURTLE_day_30min_50_20_20,TURTLE,day,30min,0.013002843125839325,0.1387844292924709,0.09369093631128787,-0.29440723964009496,1369
TURTLE_all_60min_80_30_20,TURTLE,all,60min,0.008122864839021027,0.08795235777968095,0.09235528238331774,-0.2958649655284744,1047
MA_day_15min_5_20_L,MA,day,15min,0.010722333956096897,0.11671453891417784,0.09186802309163222,-0.33808566968172715,5091
MA_day_10min_50_200_LS,MA,day,10min,0.015614838047959712,0.17428200495080995,0.08959523992374833,-0.2995268622167768,765
TURTLE_all_30min_50_20_20,TURTLE,all,30min,0.007833095173825466,0.08923581101088449,0.0877797275005438,-0.2827993984799432,2874
